company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
Walmart,1,0.0,559151.0,6.7,13510.0,-9.2,252496,2300000,General Merchandisers,Retailing,U.S.,Bentonville,Arkansas,no,,no,yes,27,1.0,,C. Douglas McMillon,https://www.stock.walmart.com,WMT,388870
State Grid,2,1.0,386617.7,0.7,5580.4,-30,666088.5,896360,Utilities,Energy,China,Beijing,,no,,no,yes,21,3.0,,Xin Baoan,https://www.sgcc.com.cn,,
Amazon,3,6.0,386064.0,37.6,21331.0,84.1,321195,1298000,Internet Services and Retailing,Retailing,U.S.,Seattle,Washington,no,,no,yes,13,9.0,,Andrew R. Jassy,https://www.amazon.com,AMZN,1446821
China National Petroleum,4,0.0,283957.6,-25.1,4575.2,3,626616.7,1242245,Petroleum Refining,Energy,China,Beijing,,no,,no,yes,21,4.0,,Li FanRong,https://www.cnpc.com.cn,,
Sinopec Group,5,-3.0,283727.6,-30.3,6205.2,-8.7,343289,553833,Petroleum Refining,Energy,China,Beijing,,no,,no,yes,23,2.0,,Zhang Yuzhuo,https://www.sinopec.com,,
Apple,6,6.0,274515.0,5.5,57411.0,3.9,323888,147000,"Computers, Office Equipment",Technology,U.S.,Cupertino,California,no,,no,yes,19,12.0,,Timothy D. Cook,https://www.apple.com,AAPL,2652865
CVS Health,7,6.0,268706.0,4.6,7179.0,8.2,230715,256500,Health Care: Pharmacy and Other Services,Health Care,U.S.,Woonsocket,Rhode Island,no,,yes,yes,26,13.0,,Karen S. Lynch,https://www.cvshealth.com,CVS,134065
UnitedHealth Group,8,7.0,257141.0,6.2,15403.0,11.3,197289,330000,Health Care: Insurance and Managed Care,Health Care,U.S.,Minnetonka,Minnesota,no,,no,yes,25,15.0,,Andrew P. Witty,https://www.unitedhealthgroup.com,UNH,434354
Toyota Motor,9,1.0,256721.7,-6.5,21180.1,13.1,562994,366283,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Toyota,,no,,no,yes,27,10.0,,Akio Toyoda,https://global.toyota/en,TM,327979
Volkswagen,10,-3.0,253965.0,-10.2,10103.5,-35,608368.1,662575,Motor Vehicles & Parts,Motor Vehicles & Parts,Germany,Wolfsburg,,no,,no,yes,27,7.0,,Herbert Diess,https://www.volkswagenag.com,VWAGY,129726
Berkshire Hathaway,11,3.0,245510.0,-3.6,42521.0,-47.8,873729,360000,Insurance: Property and Casualty (Stock),Financials,U.S.,Omaha,Nebraska,no,,no,yes,25,14.0,,Warren E. Buffett,https://www.berkshirehathaway.com,BRKA,682197
McKesson,12,4.0,238228.0,3.1,-4539.0,-604.3,65015,67500,Wholesalers: Health Care,Health Care,U.S.,Irving,Texas,no,,no,no,27,16.0,,Brian S. Tyler,https://www.mckesson.com,MCK,37654
China State Construction Engineering,13,5.0,234425.0,13.9,3578.4,7.4,338033.2,356864,Engineering & Construction,Engineering & Construction,China,Beijing,,no,,no,yes,10,18.0,,Zhou Naixiang,https://www.cscec.com,,
Saudi Aramco,14,-8.0,229766.2,-30.3,49286.8,-44.1,510265.5,79800,"Mining, Crude-Oil Production",Energy,Saudi Arabia,Dhahran,,no,,no,yes,3,6.0,,Amin H. Nasser,https://www.aramco.com,,1860837
Samsung Electronics,15,4.0,200734.4,1.5,22116.4,19.9,347991.8,267937,"Electronics, Electrical Equip.",Technology,South Korea,"Suwon, Gyeonggi-do",,no,,no,yes,27,19.0,,Hyun-Suk Kim/Ki-Nam Kim,https://www.samsung.com,????,378589
